participant,trial,source,dataset,elevation_deg,elevation_label,response,correct,rt_s
p03,1,electric_guitar,CIPIC KEMAR,-51,down,middle,False,6.832
p03,2,solo_violin,CIPIC Human,51,up,up,True,4.078
p03,3,electric_guitar,CIPIC KEMAR,0,middle,middle,True,1.646
p03,4,solo_violin,CIPIC KEMAR,-51,down,up,False,1.442
p03,5,solo_violin,CIPIC Human,0,middle,middle,True,3.01
p03,6,electric_guitar,CIPIC KEMAR,51,up,up,True,1.918
p03,7,solo_violin,CIPIC KEMAR,0,middle,down,False,1.367
p03,8,electric_guitar,CIPIC Human,0,middle,up,False,2.018
p03,9,solo_violin,CIPIC Human,-51,down,down,True,3.126
p03,10,solo_violin,CIPIC KEMAR,51,up,down,False,1.227
p03,11,electric_guitar,CIPIC Human,-51,down,middle,False,1.611
p03,12,electric_guitar,CIPIC Human,51,up,up,True,1.46
