participant,trial,source,dataset,elevation_deg,elevation_label,response,correct,rt_s
p04,1,electric_guitar,CIPIC KEMAR,0,middle,middle,True,6.737
p04,2,electric_guitar,CIPIC KEMAR,-51,down,down,True,1.933
p04,3,electric_guitar,CIPIC Human,-51,down,up,False,1.285
p04,4,solo_violin,CIPIC KEMAR,51,up,middle,False,1.117
p04,5,electric_guitar,CIPIC Human,0,middle,middle,True,1.624
p04,6,electric_guitar,CIPIC KEMAR,51,up,up,True,3.37
p04,7,electric_guitar,CIPIC Human,51,up,middle,False,1.647
p04,8,solo_violin,CIPIC KEMAR,0,middle,middle,True,3.512
p04,9,solo_violin,CIPIC KEMAR,-51,down,up,False,2.252
p04,10,solo_violin,CIPIC Human,51,up,down,False,1.401
p04,11,solo_violin,CIPIC Human,-51,down,up,False,2.526
p04,12,solo_violin,CIPIC Human,0,middle,middle,True,1.32
